"Part";"Value";"Device";"Package";"Description";"AUTOMOTIVE";"BUILT_BY";"CENTROID_NOT_SPECIFIED";"CIIVA_IDS";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"CONN_GENDER";"CONN_ORIENTATION";"CONTACT_MATERIAL";"COPYRIGHT";"CURRENT_RATING";"DATASHEET";"DESCRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGI-KEY_PART_NUMBER";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"FOOTPRINT_URL";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"HEIGHT";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"LEAD_FREE";"MANUFACTURER_PART_NUMBER";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MFR_NAME";"MOUNTING_TECHNOLOGY";"MOUSER_PART_NUMBER";"MP";"MPN";"NUMBER_OF_CONTACTS";"NUMBER_OF_ROWS";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_VERSION";"PITCH";"POPULARITY";"PREFIX";"RELEASE_DATE";"ROHS";"SOURCELIBRARY";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"VAULT_GUID";"VAULT_REVISION";"VENDOR";"VERIFICATION_VERSION";"VOLTAGE_RATING";
"C1";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"26";"";"";"";"";"";"";"";"";"";"";"";
"H1";"PC104_WCONN";"PC104_WCONN";"PC104_WCONN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"MOLEX_503763-0491MOLEX_503763-0491_0_0";"MOLEX_503763-0491MOLEX_503763-0491_0_0";"MOLEX_503763-0491_0";"Wire-To-Board Connector, Pico-Lock 503763 Series, Surface Mount, Header, 4 Contacts, 1 mm";"No";"";"No";"";"";"";"";"";"Male";"Right Angle";"Gold,Nickel";"";"1.5A";"https://www.molex.com/webdocs/datasheets/pdf/en-us/5037630491_PCB_HEADERS.pdf";"";"Connectors";"Headers and Wire Housings";"unset";"";"CONN HEADER 1MM R/A 4CKT";"WM10655CT-ND";"https://www.molex.com/pdm_docs/sd/5037630491_sd.pdf";"Recommended_Land_Pattern";"";"";"1.7mm";"";"";"";"Yes";"";"Molex";"503763-0491";"0";"0";"";"";"538-503763-0491";"";"503763-0491";"4";"1";"";"";"HDR4";"";"";"1mm";"";"J";"";"Yes";"";"+105°C";"-40°C";"";"";"";"0.0.0.1";"150V";
"J2";"MOLEX_503763-0491MOLEX_503763-0491_0_0";"MOLEX_503763-0491MOLEX_503763-0491_0_0";"MOLEX_503763-0491_0";"Wire-To-Board Connector, Pico-Lock 503763 Series, Surface Mount, Header, 4 Contacts, 1 mm";"No";"";"No";"";"";"";"";"";"Male";"Right Angle";"Gold,Nickel";"";"1.5A";"https://www.molex.com/webdocs/datasheets/pdf/en-us/5037630491_PCB_HEADERS.pdf";"";"Connectors";"Headers and Wire Housings";"unset";"";"CONN HEADER 1MM R/A 4CKT";"WM10655CT-ND";"https://www.molex.com/pdm_docs/sd/5037630491_sd.pdf";"Recommended_Land_Pattern";"";"";"1.7mm";"";"";"";"Yes";"";"Molex";"503763-0491";"0";"0";"";"";"538-503763-0491";"";"503763-0491";"4";"1";"";"";"HDR4";"";"";"1mm";"";"J";"";"Yes";"";"+105°C";"-40°C";"";"";"";"0.0.0.1";"150V";
"J6";"MOLEX_503763-0491MOLEX_503763-0491_0_0";"MOLEX_503763-0491MOLEX_503763-0491_0_0";"MOLEX_503763-0491_0";"Wire-To-Board Connector, Pico-Lock 503763 Series, Surface Mount, Header, 4 Contacts, 1 mm";"No";"";"No";"";"";"";"";"";"Male";"Right Angle";"Gold,Nickel";"";"1.5A";"https://www.molex.com/webdocs/datasheets/pdf/en-us/5037630491_PCB_HEADERS.pdf";"";"Connectors";"Headers and Wire Housings";"unset";"";"CONN HEADER 1MM R/A 4CKT";"WM10655CT-ND";"https://www.molex.com/pdm_docs/sd/5037630491_sd.pdf";"Recommended_Land_Pattern";"";"";"1.7mm";"";"";"";"Yes";"";"Molex";"503763-0491";"0";"0";"";"";"538-503763-0491";"";"503763-0491";"4";"1";"";"";"HDR4";"";"";"1mm";"";"J";"";"Yes";"";"+105°C";"-40°C";"";"";"";"0.0.0.1";"150V";
"J9";"U.FL-R-SMT-1(01)";"U.FL-R-SMT-1(01)";"CONN_-SMT-1(01)";"";"";"EMA_Matt";"";"";"";"";"";"";"";"";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"U.FL-R-SMT-1(01)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Hirose_12_20_2019";"";"";"";"";"Hirose";"";"";
"J10";"503763-0591";"503763-0591";"CONN_5037630591_MOL";"";"";"EMA_Cory";"";"";"";"";"";"";"";"";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"https://www.molex.com/pdm_docs/sd/5037630591_sd.pdf";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"503763-0591";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Add_to_database_2020-12-14";"";"";"";"";"Molex Connector Corporation";"";"";
